ID;Название компании;Логотип;Тип компании;Сфера деятельности;Кол-во сотрудников;Годовой оборот;Валюта;Комментарий;Ответственный;Рабочий телефон;Мобильный телефон;Номер факса;Домашний телефон;Номер пейджера;Телефон для рассылок;Другой телефон;Корпоративный сайт;Личная страница;Страница Facebook;Страница ВКонтакте;Страница LiveJournal;Микроблог Twitter;Другой сайт;Рабочий e-mail;Частный e-mail;E-mail для рассылок;Другой e-mail;Контакт Facebook;Контакт Telegram;Контакт ВКонтакте;Контакт Viber;Комментарии Instagram;Контакт Битрикс24 Network;Онлайн-чат;Контакт Открытая линия;Другой контакт;Связанный пользователь;Банковские реквизиты;Доступен для всех;Компания продавец
2393;ПРОМХИМКОМПЛЕКТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5904296174;да;
2394;ПРОМХИМСЕРВИС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268041233;да;
2395;ПРОМЭЛ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5753055174;да;
2396;ПРОТОН ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7415094739;да;
2397;ПРОФ-СЕРВИС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1840076960;да;
2398;ПРОФИЛЬПЛАСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5906065831;да;
2399;ПРОХОДКИ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3662191962;да;
2400;ПСК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7457004984;да;
2401;РАЙБЕР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6165220200;да;
2402;РЕАЛГРУПП ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0261019599;да;
2403;РЗСИ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6627001195;да;
2404;РИМ - ПЛАСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5404460228;да;
2405;РИТМ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5401347496;да;
2406;РН-ТУАПСИНСКИЙ НПЗ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2365004375;да;
2407;РОКС Н ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7807220127;да;
2408;РОСЛЯКОВ-ГРУПП ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7450034281;да;
2409;РОСТПОЛИПЛАСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6146005574;да;
2410;РОШАЛЬСКИЙ ЗАВОД ПЛАСТИФИКАТОРОВ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5049015303;да;
2411;РСТ МОСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3811169540;да;
2412;РУСВАТЕР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7841463352;да;
2413;РУСПВХ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6166091116;да;
2414;РЭМ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5405498697;да;
2415;САМРЭК-ЭКСПЛУАТАЦИЯ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6315648332;да;
2416;САПФИР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7415096912;да;
2417;СБС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2464259744;да;
2418;СВЕРДЛОВСКИЙ ЭЛЕКТРОИЗОЛЯЦИОННЫЙ ЗАВОД ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6670435600;да;
2419;СГМ-ПРОФИЛЬ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5404005860;да;
2420;СЕНЕГЕР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1840004115;да;
2421;СЕРВИСКОМПЛЕКТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6321317160;да;
2422;СЕРТОВ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5043024478;да;
2423;СИБКОМФОРТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7203473911;да;
2424;СИЗ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5252036815;да;
2425;СИЛЬВЕР-АВТО ПЛЮС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7455027496;да;
2426;СИМТЕК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3321014850;да;
2427;СИНТЕГРА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1651065401;да;
2428;СИСТЕМЫ УПРАВЛЕНИЯ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6165142463;да;
2429;СИТИСТРОЙ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5015269412;да;
2430;СКЕТЕКС-АВТО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6324095042;да;
2431;СМУ-5 ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7725306888;да;
2432;СМУМОНОЛИТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6439081180;да;
2433;СНАБСЕРВИС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7724369726;да;
2434;СНК СИСТЕМ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6670450704;да;
2435;СОВРЕМЕННЫЕ ТЕХНОЛОГИИ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6732186160;да;
2436;СП-ПОЛИМЕР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268088009;да;
2437;СПЕКТР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9701157126;да;
2438;СПЕЦЗАКАЗ-МСК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7704427521;да;
2439;СПЕЦОДЕЖДА-2000 ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710005344;да;
2440;Спецснабресурс ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7449146431;да;
2441;СПЕЦТЕХНИКА ПЛЮС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0242012968;да;
2442;СПЕЦТЕХНОЛОГИЯ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268063332;да;
2443;СПЕЦТРАНС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268076356;да;
2444;СПК ЗОЛОТАЯ ЦЕЛИНА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268080465;да;
2445;СТ-ТРАНСПОРТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268096673;да;
2446;СТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3254507128;да;
2447;СТАЛЬ СИТИ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7452164656;да;
2448;СТАММ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6455018838;да;
2449;СТАРС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1659193980;да;
2450;СТАРТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268091001;да;
2451;СТРОЙ ОИЛ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268095870;да;
2452;СТРОЙГРАД - КМВ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2625032793;да;
2453;СТРОЙИНВЕСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5904265514;да;
2454;СТРОЙЦЕНТР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0274149228;да;
2455;СТС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0242012950;да;
2456;СТУ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7733402708;да;
2457;ТАЙГАКАБЕЛЬ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7017395550;да;
2458;ТАЛЕКС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1650414681;да;
2459;ТД БЕРЕГ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5035044417;да;
2460;ТД ВТР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2722089668;да;
2461;"ООО ""ТД ""ТЕХНОКАБЕЛЬ-НН""";;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5258128011;да;
2462;ТД АВАНТПАК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7706808138;да;
2463;ТД УРАЛ ПАК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5918014278;да;
2464;ТЕС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1655374094;да;
2465;ТЕХВОДПОЛИМЕР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268027750;да;
2466;ТЕХКОМ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3316007030;да;
2467;ТЕХКОМПЛЕКТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0266064620;да;
2468;ТЕХНИКА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6150072164;да;
2469;ТЕХНО-ПЛАСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1215095269;да;
2470;ТЕХНО-ЭКО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7805382355;да;
2471;ТЕХНОСТОЛИЦА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7716984100;да;
2472;ТЕХНОСТРОЙ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5609191167;да;
2473;ТЕХРЫБВОД ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3102046120;да;
2474;ТЗПТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0269999854;да;
2475;ТЗРО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7017102010;да;
2476;ТОМСКСНАБ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7017364425;да;
2477;ТОНАР ПЛЮС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2224162636;да;
2478;ТОНПЛАСТ-САМАРА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6316260310;да;
2479;ТПК ДИРЕКТОРИЯ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1650099750;да;
2480;ТРАНСНЕФТЬ - ДАЛЬНИЙ ВОСТОК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2724132118;да;
2481;ТРАССА-С ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6318157974;да;
2482;ТРЕЙДХИМ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1650333295;да;
2483;ТРЕК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5908055363;да;
2484;ТРЕНД ЭКСПО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268067217;да;
2485;ТРЕНДФАБРИКА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6027156084;да;
2486;ТРИТОН-ПЛАСТИК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9715225802;да;
2487;ТРК - МЫТИЩИ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7701678118;да;
2488;ТРУБНЫЙ ВЕКТОР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1684022330;да;
2489;ТТК УРАЛМЕТАЛЛГРУПП ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7430037397;да;
2490;ТТК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7453300372;да;
2491;ТЭПСТЭП ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4800002460;да;
2492;УЗНО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0275900327;да;
2493;УЛКРОМ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7328099339;да;
2494;УМСТРОЙ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5403079122;да;
2495;УПРЗ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7325057468;да;
2496;УРАЛИМПОРТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5903074725;да;
2497;УРАЛОМЕГАПЛАСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5906111140;да;
2498;УРАЛПЛАСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5918019727;да;
2499;УСЭР-ИНЖИНИРИНГ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6686097080;да;
2500;УТК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0272020490;да;
2501;УТМ ПЛЮС К ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6682005627;да;
2502;УТТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268030714;да;
2503;УТТ ООО (метлом);;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7430034879;да;
2504;УФИМКАБЕЛЬ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0274193280;да;
2505;УФИМСКИЙ ТУРБИННЫЙ ЗАВОД ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0277963347;да;
2506;УЭД ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6671385825;да;
2507;ФЕНИКС-АВТО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7415035130;да;
2508;ФЕНИКС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6229090990;да;
2509;ФЛАГМАН ТОРГОВЛИ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6163149350;да;
2510;ФЛАГМАН-54 ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5403003518;да;
2511;ФОРАСТРОЙ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0278924020;да;
2512;ФОРКОС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1004013073;да;
2513;ФОРТЭКС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7302017821;да;
2514;ФУД СЕРВИС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7842455442;да;
2515;ХАРТИЯ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7703770101;да;
2516;ХИМПРОМКОМБИНАТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268093810;да;
2517;ХИМТЕХМОНТАЖ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5410032164;да;
2518;ХОЗАВТОКОМПЛЕКТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5252046186;да;
2519;ЦЕНТР ГАЗ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5001117650;да;
2520;ЦТК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1650334436;да;
2521;ШАГР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3123423178;да;
2522;Э-МОЛД ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6453080326;да;
2523;ЭВОЛАЙН ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7714921313;да;
2524;ЭЙ ПИ СИ ГРУПП ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7841024394;да;
2525;ЭКО ПЛЮС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6449050618;да;
2526;ЭКОЛИНИЯ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7728609697;да;
2527;ЭКОЛОС-ПРОЕКТСТРОЙ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6311135876;да;
2528;ЭКОСТАЛЬГРУПП ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268101860;да;
2529;ЭКСО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0264075104;да;
2530;ЭЛЕГИР-МАРКИНГ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6679129260;да;
2531;ЭНЕРГОПРОМСНАБ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7445041928;да;
2532;ЭНЕРГОСЕРВИС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0264069301;да;
2533;ЭНЕРГОСНАБЖЕНИЕ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9721134977;да;
2534;ЭНЕРГОСТАЛЬМОНТАЖ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9709076327;да;
2535;ЭСВ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2543121643;да;
2536;ЭСТЕТИКА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6230095544;да;
2537;Ю-ПИТЕР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7805741565;да;
2538;ЮНИПЛАСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1650392685;да;
2539;ЮНИС-ОБУВЬ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5504098410;да;
2540;ИННОФОРМА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6952002838;да;
2541;ИНТЕРСТИЛС-НОВОСИБИРСК ООО ГК;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5406812676;да;
2542;ИНТЕРСТИЛС ООО ГК;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6671149440;да;
2543;РИТМ ООО ЗСА;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7743125972;да;
2544;НЕФТЕХИМТЕХНОЛОГИИ ООО ИПФ;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0224008937;да;
2545;ПУЛЬСАР-ТЕЛЕКОМ ООО КБ;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5835124654;да;
2546;ЕВРОМЕТИМПЕКС ООО КОМПАНИЯ;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6722032309;да;
2547;"ООО КОМПАНИЯ ""ЛАТЭКС""";;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5405189628;да;
2548;ВОДНЫЙ МИР ООО КПК;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7717729086;да;
2549;АГРОХИМИКАТ ООО КЧЗ;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4312128282;да;
2550;ООО НАЮ (ООО МЕТАПЛАСТ);;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4401064626;да;
2551;МЕГАПРОМ ООО НПК;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5256164783;да;
2552;ЭЛЕКТ ООО НПКО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5402105933;да;
2553;ПОЛИМЕРЫ УРАЛА ООО НПО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7430016502;да;
2554;САНРАЙЗ ООО НПО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1648031843;да;
2555;ДИТАС ООО НПФ;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7610009166;да;
2556;ЭРА-ПРОФИ ООО ОБУВНАЯ ФАБРИКА;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2100000583;да;
2557;ГАММА ООО ОКБ;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5038110121;да;
2558;РОТОР ООО ОКБ;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0262012420;да;
2559;ППЗ ООО ПК;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7713451672;да;
2560;КАЗПОЛИМЕР ООО ПКФ;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1659131430;да;
2561;КАСКАД ООО ПКФ;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7449131259;да;
2562;ПОЛИПЛАСТ ООО ПКФ;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268043304;да;
2563;САНРАЙЗ ООО ПКФ;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1650368097;да;
2564;ТРУБНОЕ РЕШЕНИЕ МОСКВА ООО ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9728005956;да;
2565;ИСТОК ООО ПТК;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5001106224;да;
2566;ПЕРСПЕКТИВА ООО ПФ;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6320072238;да;
2567;ГОРИЗОНТ ООО СК;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0267016178;да;
2568;РЕКАРТ ООО СП;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0278033520;да;
2569;БЕТОН ООО ТД;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0242009186;да;
2570;ЛИДЕР СБ ООО ТД;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0273033580;да;
2571;ПОЛИМИР ООО ТД;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7724472339;да;
2572;ЭЛЕКТРА ООО ТД;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1650375792;да;
2573;ВЕСНА ООО ТПК;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0277946870;да;
2574;ЧИСТОН И К ООО ТПК;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1652000982;да;
2575;АЛЬФА-СТ ПЛЮС ООО ЧОП;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268056776;да;
2576;М-СТАН ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7706294235;да;
2577;СУИР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7806455750;да;
2578;ТКЭКСПЕРТ-КАБЕЛЬ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5720023191;да;
2579;"ОП ""Руднево"" ООО ""ХАРТИЯ""";;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7703770101;да;
2580;КАЗАНЬОРГСИНТЕЗ ПАО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1658008723;да;
2581;КВАДРА ПАО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6829012680;да;
2582;ММК ПАО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7414003633;да;
2583;Т ПЛЮС ПАО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6315376946;да;
2584;ФОРТУМ ПАО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7203162698;да;
2585;ЭНЕРГИЯ ПАО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4821000142;да;
2586;СБЕРБАНК ПАО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7707083893;да;
2587;ПКК АРГО ИН030640002637 МОСКВИНА 22Г АЛМАТЫ КАЗАХСТАН р/с KZ258560000009920412 в JSC 'BANK CENTERCRE;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;да;
2588;"Приуфимская ТЭЦ- филиал ОО ""БГК""";;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0277077282;да;
2589;РОО Федерация ППС РБ;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0276117623;да;
